framework,accuracy_score,average_precision_score,balanced_accuracy_score,cohen_kappa_score,f1_score_macro,f1_score_micro,f1_score_weighted,matthews_corrcoef,precision_score,recall_score,roc_auc_score,coverage_error,label_ranking_average_precision_score,label_ranking_loss,training_time,test_time
autogluon,0.889,0.856,0.886,0.775,0.887,0.889,0.889,0.776,0.884,0.917,0.886,-1.000,-1.000,-1.000,00:00:16,00:00:00
autokeras,0.675,0.723,0.701,0.380,0.659,0.675,0.652,0.470,0.966,0.421,0.701,-1.000,-1.000,-1.000,00:00:55,00:00:00
autopytorch,0.823,0.817,0.830,0.649,0.823,0.823,0.823,0.658,0.902,0.759,0.830,-1.000,-1.000,-1.000,00:17:57,00:03:10
autosklearn,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,-1.000,-1.000,-1.000,00:12:05,00:00:02
evalml,0.897,0.877,0.897,0.793,0.896,0.897,0.897,0.793,0.915,0.895,0.897,-1.000,-1.000,-1.000,00:10:03,00:00:00
flaml,0.918,0.903,0.919,0.834,0.917,0.918,0.918,0.835,0.938,0.910,0.919,-1.000,-1.000,-1.000,00:10:00,00:00:00
gama,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,-1.000,-1.000,-1.000,00:08:59,00:00:00
h2o,0.494,0.563,0.527,0.049,0.445,0.494,0.430,0.073,0.632,0.180,0.527,-1.000,-1.000,-1.000,00:09:54,00:00:00
lightautoml,0.453,0.547,0.500,0.000,0.312,0.453,0.282,0.000,0.000,0.000,0.500,-1.000,-1.000,-1.000,00:01:01,00:00:00
tpot,0.951,0.944,0.952,0.901,0.950,0.951,0.951,0.901,0.969,0.940,0.952,-1.000,-1.000,-1.000,00:11:29,00:00:00
